,ID_Fatura,UC,Municipio,Bairro_Cidade,Endereco_Complemento,Campus_Name,Campus_Unique_Name,Grupo_Tarifario,Fase,valor_total_RS,pagina_correspondente,valor_faturado_consumo,valor_faturado_band_amar,valor_faturado_band_verm,valor_faturado_consumo_P,valor_faturado_consumo_FP,valor_faturado_ener_reat_exc_P,valor_faturado_ener_reat_exc_FP,valor_faturado_demanda,valor_faturado_demanda_ultr,valor_faturado_cosip,valor_faturado_custo_disp_sistema,valor_faturado_comp_viol_meta_continuidade,Quantidade_consumo,Quantidade_consumo_P,Quantidade_consumo_FP,Quantidade_ener_reat_exc_P,Quantidade_ener_reat_exc_FP,Quantidade_demanda,Quantidade_demanda_ultr,Quantidade_custo_disp_sistema,Medido_consumo,Medido_consumo_P,Medido_consumo_FP,Medido_ener_reat_exc_P,Medido_ener_reat_exc_FP,Medido_demanda,Medido_demanda_ultr,Medido_energia_reat_indutiva,MM_YY_ref,year,month,has_demanda,has_been_charged_by_demanda_ultr,has_been_refunded,real_contracted_value_for_demanda,diff_demanda_contratada_medida,ratio_medido_faturado,demanda_tarifa_cost_real_por_kW,lost_money_sobrecontratacao_demanda
0,01-20195385124175-29,12183828,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"R VISC OURO PRETO, 457, ",FAED,FAED_Centro_B3,B-3,TR-TRIFASICO,36,2,12,61,85,54,53,90,88,53,94,24,34,90,43,50,20,3,65,61,65,27,96,86,94,6,55,46,13,32,2019_11,2019,11,False,False,False,0.0,0.0,,,75
1,01-20195436342237-1,28925301,JOINVILLE,SAGUACU - JVE,"R PAST GUILHERME RAU,1, UDESC RADIO EDUCATIVA DE JLLE - MIRANTE",CCT,CCT_Saguacu_B3_Radio_Mirante,B-3,MO-MONOFASICO,31,7,14,55,36,52,89,97,79,33,28,30,41,37,93,56,15,92,37,81,44,50,91,59,92,88,44,26,93,6,2019_11,2019,11,False,False,False,0.0,0.0,,,57
2,01-20195459548344 - 93,28925310,JOINVILLE,AMERICA - JVE,"R OTTO BOEHM, 30, SL6 CX7 - UDESC FUNDACAO",CCT,CCT_America_B3_Radio_CX_7,B-3,BI-BIFASICO,74,10,10,19,5,5,18,20,85,67,46,34,19,42,6,54,62,81,5,64,51,95,29,14,80,87,13,77,41,43,2019_11,2019,11,False,False,False,0.0,0.0,,,18
3,01-20195436271090-13,48665110,LAGES,MACACOS - LAG*,"LOC MACACOS,, FAZENDA EXPERIMENTAL DO CAV",CAV,CAV_Macacos_B3_Fazenda,B-3,MO-MONOFASICO,41,11,19,37,2,9,59,41,25,69,73,7,81,4,35,16,92,28,33,94,57,32,80,56,6,99,20,20,43,41,2019_11,2019,11,False,False,False,0.0,0.0,,,38
4,01-20195465229079-21,26445418,LAGES,CIDADE ALTA - LAG*,"R DAS TORRES, 2090, AREA INDUSTRIAL - UDESC RADIO LAGES",CAV,CAV_Cidade-Alta_B3_Radio,B-3,TR-TRIFASICO,40,13,76,80,59,59,38,55,80,82,51,17,48,47,36,68,11,85,2,87,45,7,35,23,67,4,13,47,4,41,2019_11,2019,11,False,False,False,0.0,0.0,,,66
5,01-20195453819770-30,25576640,LAGUNA,PROGRESSO - LAG,"R CEL FERNANDES MARTINS,, GINASIO COBERTO BERTHOLDO WERNER",CERES,CERES_Progresso_B3_Ginasio,B-3,TR-TRIFASICO,63,15,68,30,84,11,72,2,63,12,22,83,81,70,25,94,61,67,42,13,14,3,95,11,28,3,90,53,81,92,2019_11,2019,11,False,False,False,0.0,0.0,,,55
6,01-20195453881788-5,43860100,BALNEARIO CAMBORIU,NOVA ESPERANCA (BC),"R EDGAR LINHARES, 570, GALPAO 04",CEFSI,CEFSI_Nova-Esperanca_,B-3,TR-TRIFASICO,44,21,86,67,4,96,16,24,98,48,95,57,11,18,28,42,46,40,62,84,58,45,94,24,99,25,8,23,73,13,2019_11,2019,11,False,False,False,0.0,0.0,,,74
7,01-20195396989718-63,26132010,SAO BENTO DO SUL,CENTENARIO,"R LUIZ FERNANDO HASTREITER, 150, ",CEPLAN,CEPLAN_Centenario_B3,B-3,TR-TRIFASICO,96,26,13,29,26,1,78,56,13,9,47,7,65,9,23,43,82,29,61,61,41,99,40,62,94,56,80,43,90,65,2019_11,2019,11,False,False,False,0.0,0.0,,,63
8,01-20195453951988 - 24,12184158,FLORIANOPOLIS,COQUEIROS - FNS,"R PASCOAL SIMONE, 212, ",CEFID,CEFID_Coqueiros_A4_P.Simone.212,A-4,TR-TRIFASICO,30,5,12,18,78,32,80,41,79,41,20,13,53,42,89,42,91,43,57,42,72,25,9,33,50,15,69,2,17,17,2019_11,2019,11,True,True,False,150.0,-23.0,1.16,13.13,4
9,01-20195453952000-8,20665025,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"R SALDANHA MARINHO, 47, ",Museu,Museu_Centro_A4,A-4,TR-TRIFASICO,65,6,66,86,27,96,86,90,47,83,56,26,88,53,96,39,12,7,87,8,2,13,24,7,12,8,99,53,38,19,2019_11,2019,11,True,False,False,30.0,1.1,0.96,13.1,43
10,01-20195469317137-89,26454336,JOINVILLE,BOM RETIRO -JVE,"R TTE ANTONIO JOAO,, CAMPUS UNIVER. FACULD. ENGENHARIA",CCT,CCT_B.Retiro_A4_Facul.Eng,A-4,TR-TRIFASICO,97,8,57,76,57,81,32,93,55,56,76,27,3,33,59,32,50,13,81,86,51,89,88,43,82,75,18,4,26,64,2019_11,2019,11,True,True,False,600.0,-121.0,1.2,13.1,13
11,01-20195453952251-38,12216955,LAGES,CONTA DINHEIRO- LAG*,"R PAULO ALVES DE LIZ,, TELEMED",CAV,CAV_Conta-Dinheiro_A4_Telemed,A-4,TR-TRIFASICO,66,12,61,20,48,18,15,52,93,25,33,52,90,66,32,57,15,57,47,91,69,9,99,7,43,30,59,55,79,99,2019_11,2019,11,True,False,False,440.0,52.9,0.88,13.1,91
12,01-20195453952523-36,12264488,LAGUNA,PROGRESSO - LAG,"R CEL FERNANDES MARTINS,, COL COMERCIAL LAGUNENSE",CERES,CERES_Progresso_A4_Col.Comercial-Laguense,A-4,TR-TRIFASICO,78,16,18,50,68,18,52,73,14,68,37,12,31,60,94,74,63,14,55,24,96,2,39,94,37,73,4,22,86,18,2019_11,2019,11,True,False,False,190.0,80.3,0.58,13.1,75
13,01-20195401491749-80,22814907,IBIRAMA,CENTRO / IB,"R DOUTOR GETULIO VARGAS, 2678, SALA 03",CEAVI,CEAVI_Centro_A4,A-4,TR-TRIFASICO,51,19,28,79,27,34,16,11,15,92,12,16,4,2,23,71,53,60,92,44,37,21,37,75,69,65,11,64,8,98,2019_11,2019,11,True,False,False,30.0,13.4,0.55,13.1,26
