ID_Fatura,UC,Municipio,Bairro_Cidade,Endereco_Complemento,Campus_Name,Campus_Unique_Name,Grupo_Tarifario,Fase,valor_total_RS,pagina_correspondente,valor_faturado_consumo,valor_faturado_band_amar,valor_faturado_band_verm,valor_faturado_consumo_P,valor_faturado_consumo_FP,valor_faturado_ener_reat_exc_P,valor_faturado_ener_reat_exc_FP,valor_faturado_demanda,valor_faturado_demanda_ultr,valor_faturado_cosip,valor_faturado_custo_disp_sistema,valor_faturado_comp_viol_meta_continuidade,Quantidade_consumo,Quantidade_consumo_P,Quantidade_consumo_FP,Quantidade_ener_reat_exc_P,Quantidade_ener_reat_exc_FP,Quantidade_demanda,Quantidade_demanda_ultr,Quantidade_custo_disp_sistema,Medido_consumo,Medido_consumo_P,Medido_consumo_FP,Medido_ener_reat_exc_P,Medido_ener_reat_exc_FP,Medido_demanda,Medido_demanda_ultr,Medido_energia_reat_indutiva,MM_YY_ref,year,month,has_demanda,has_been_charged_by_demanda_ultr,has_been_refunded,real_contracted_value_for_demanda,diff_demanda_contratada_medida,ratio_medido_faturado,demanda_tarifa_cost_real_por_kW,lost_money_sobrecontratacao_demanda
01-20195385124175-29,12183828,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"R VISC OURO PRETO, 457, ",FAED,FAED_Centro_B3,B-3,TR-TRIFASICO,464.33,2,378.24,11.67,4.12,0.0,0.0,0.0,0.0,0.0,0.0,73.3,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195436342237-1,28925301,JOINVILLE,SAGUACU - JVE,"R PAST GUILHERME RAU,1, UDESC RADIO EDUCATIVA DE JLLE - MIRANTE",CCT,CCT_Saguacu_B3_Radio_Mirante,B-3,MO-MONOFASICO,2319.03,7,2055.76,21.88,121.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195459548344 - 93,28925310,JOINVILLE,AMERICA - JVE,"R OTTO BOEHM, 30, SL6 CX7 - UDESC FUNDACAO",CCT,CCT_America_B3_Radio_CX_7,B-3,BI-BIFASICO,964.39,10,783.44,4.69,56.48,0.0,0.0,0.0,0.0,0.0,0.0,119.78,0.0,0.0,1657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195436271090-13,48665110,LAGES,MACACOS - LAG*,"LOC MACACOS,, FAZENDA EXPERIMENTAL DO CAV",CAV,CAV_Macacos_B3_Fazenda,B-3,MO-MONOFASICO,435.48,11,0.0,0.15,0.83,0.0,0.0,0.0,0.0,0.0,0.0,420.31,14.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195465229079-21,26445418,LAGES,CIDADE ALTA - LAG*,"R DAS TORRES, 2090, AREA INDUSTRIAL - UDESC RADIO LAGES",CAV,CAV_Cidade-Alta_B3_Radio,B-3,TR-TRIFASICO,1274.55,13,529.55,1.69,42.29,0.0,0.0,0.0,0.0,0.0,0.0,701.02,0.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195453819770-30,25576640,LAGUNA,PROGRESSO - LAG,"R CEL FERNANDES MARTINS,, GINASIO COBERTO BERTHOLDO WERNER",CERES,CERES_Progresso_B3_Ginasio,B-3,TR-TRIFASICO,1341.97,15,978.94,6.84,67.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.5,0.0,0.0,0.0,0.0,0.0,0.0,,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195453881788-5,43860100,BALNEARIO CAMBORIU,NOVA ESPERANCA (BC),"R EDGAR LINHARES, 570, GALPAO 04",CEFSI,CEFSI_Nova-Esperanca_,B-3,TR-TRIFASICO,63.76,21,0.0,0.32,3.27,0.0,0.0,0.0,0.0,0.0,0.0,12.9,47.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195396989718-63,26132010,SAO BENTO DO SUL,CENTENARIO,"R LUIZ FERNANDO HASTREITER, 150, ",CEPLAN,CEPLAN_Centenario_B3,B-3,TR-TRIFASICO,2534.13,26,2359.3,55.24,55.83,0.0,0.0,0.0,0.0,0.0,0.0,63.76,0.0,0.0,4990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019_11,2019,11,False,False,False,0.0,0.0,,,0.0
01-20195453951988 - 24,12184158,FLORIANOPOLIS,COQUEIROS - FNS,"R PASCOAL SIMONE, 212, ",CEFID,CEFID_Coqueiros_A4_P.Simone.212,A-4,TR-TRIFASICO,22816.03,5,0.0,148.78,1391.91,6122.44,11721.46,55.25,289.22,2271.81,612.47,202.69,0.0,0.0,0.0,5024.0,38006.0,222.0,1162.0,173.0,23.0,0.0,43029.5,5023.87,38005.63,221.9,1161.5,173.37,0.0,17364.81,2019_11,2019,11,True,True,False,150.0,-23.0,1.16,13.13,0.0
01-20195453952000-8,20665025,FLORIANOPOLIS,FLORIANOPOLIS-CENTRO,"R SALDANHA MARINHO, 47, ",Museu,Museu_Centro_A4,A-4,TR-TRIFASICO,2785.31,6,0.0,14.35,141.49,937.42,1096.15,0.0,0.1,393.11,0.0,202.69,0.0,0.0,0.0,769.0,3554.0,0.0,0.0,30.0,0.0,0.0,4323.4,769.22,3554.17,0.0,0.42,28.88,0.0,149.53,2019_11,2019,11,True,False,False,30.0,1.1,0.96,13.1,14.41
